作者,user_token,回答,创建时间,赞同数,评论数
熊大,xiong-da-73-94,"我想到一个可能
因为大多数私企对于产假都是不支持的态度，要么滚蛋，要么别生，带薪假对于75%的私企是不存在的，而优秀有产假的私人企业又会因为担心女生因为怀孕产假长期不在岗，导致用工成本急剧增加。
那么可以确定对于普通考公务员可能更热衷了，因为优秀有产假的私企对已婚未育的女性必然处于极端挑剔态度，甚至对于未婚女性也必然有职场歧视，那么未来大多数高学历女性最好的选择就只剩考公务员这条路了。
生三胎这个政策为谁开的？简单来说，家庭一个人的收入能够让一家六口在当地能够体面的生活下去，这些人全国每个城市总人口数量占比不到3%，而恰恰还在生育区间的人又能有多少呢？所以普通人，看看就好。
如果未来收遗产税，离岸税，并且推行众恩令，这还算一个延续之道，虽然穷人三代后基本消失殆尽，但是中产掉队的人自然会形成新穷人阶层。虽然这种进化恨不人道，但毕竟还是一种进化。
只怕届时有些人忘了初衷，成了传说中屠龙勇士。",2021-05-31 20:06:20,0,0
匿名用户,,"98年，二婶怀三胎，大肚子，大婶子是当时乡政府管计生的，她强制二婶打胎，因为不打胎她工作就没了，打下来是个男孩，从此两家彻底不来往。
算是一代人的恩怨情仇了",2021-05-31 20:03:22,0,0
怪鱼,guai-yu-67-9,躺平看。,2021-05-31 19:59:48,0,0
深林木屋,yoyo-tsang-82,"所以我这两年一直说苏培盛是最理想的结婚对象，他不惦记你给他留后，无生育和养育压力。你对他好他就对你好，又体贴又有钱还有担当，试问这难道不是当代女性理想标准对象吗。
从根源上把爱情仅限于爱情，割裂于繁殖。",2021-05-31 19:53:06,0,0
旺月生,chuliqi,"八十后守八十后的规则，

零零后守零零后的规则，

二零后守二零后的规则，

法则生效，
二十年后见。",2021-05-31 19:49:53,0,0
宿梦,zhou-song-68-30,从短期期来看，能起到很小层度的调控，让生育率会涨一丢丢，但如果国家不出台政策，控制住房价，教育成本等等，那么这项政策最终会无疾而终。毕竟，没男女朋友的挺多~【手动狗头保命】,2021-05-31 19:44:29,0,0
宿醉之星,la-la-la-86-32-61,一生二 二生三 三生万物,2021-05-31 19:44:15,0,0
匿名用户,,开放多妾制都比这波实际,2021-05-31 19:40:31,0,0
匿名用户,,"国家急需新的劳动力交社保养老金，
说明等我老了可能养老金都发不出来了，
那我索性多存点钱养老而不是养娃。",2021-05-31 19:44:59,0,0
执风,wang-jia-wei-36-53,"针对新近推出三胎政策，我提两点建议。
一是生育指标化，每对夫妻配送三个生育指标。指标可以用来自己生产，也可以转让，但不可以荒废。对持有生育指标达到一定年龄不转让或者不生产的，国家一次性或分期收取指标持有税。
二是生育指标金融化，开发生育指标的金融产衍生品。暂时没有条件生育的，可以和投资者签订质押式的回购协议。先将生育指标资产转化为现金流，等到有条件生育了，再将指标赎回。这样，进一步拓宽投融资渠道，为初出社会的年轻人提供事业起步资金，帮助其事业成功，为日后养育孩子创造条件。",2021-05-31 19:35:52,0,0
简单伯爵的伊夫堡生活,jian-dan-bo-jue-de-yi-fu-bao-sheng-huo,"这政策能改变什么？
敢生三个的以前没政策也就生了 缺人口拉新难就硬撸以前的老用户呗
新一代年轻人结个婚都难还生孩子，还生三个，是真敢想啊。 我一个25岁男劳力都觉得这个政策一出，女孩子更难找工作了。只能说专家们急了，他们急了 笑死，我真的笑死。
劳资就是少生优生 不如不生 一人吃饱全家不饿 略略略~~~",2021-05-31 19:36:29,0,0
匿名用户,,"从公布的人口普查结果开放三胎是必然的。没想到来的这么快。
从国家的角度来看这是必由之路，有利于稳定经济和社会发展。
从个人，就我一已婚未育的待业女青年来看我除了走考公务员和自主创业之外没有企业会轻易的招聘我。我愿意生，但是后续呢？怎么带，怎么养，即便我全职在家，我丈夫一人的工资养三个孩子恐怕不现实。
还是看后续的配套设施吧。",2021-05-31 19:32:51,0,0
二次元单身狗,er-ci-yuan-dan-shen-gou,"可能我不是目标人群吧，生一个就够了，老婆说了不会再生。
至于，一胎都没，人家一胎都没，会在意你这个三胎吗。
只希望以后别让宗族宗社复辟。",2021-05-31 19:31:47,0,0
人不三俗枉少年,e-e-91-4,"快进到多子补助+代孕合法化。


烦死了，年轻人怎么都不生孩子！",2021-05-31 19:31:34,0,0
朵幂,duo-mi-56-11,"一方面属于国家政策，应该支持，
但希望不要强制性的，夫妻及家庭应该根据自身的经济条件自己评估是否有这个能来响应这个政策，
这个制度开发也好，只是给了有条件有能力的家庭多了选择，
所以不反对，但本人没有足够的条件来满足，",2021-05-31 19:30:32,0,0
孤岛的鲸,gu-dao-de-jing-56-14,"致男女躺平人：


自由自在
无忧无虑


不 莫
嫁 生
不 莫
娶 养


芳 仙
龄 寿
永 恒
继 昌


（过年可写成对联挂门口）",2021-05-31 19:24:11,0,0
没有钻石的王老五,jiushiwoya,"对三十年河东，三十年河西有了更深的理解。
对社会肯定是有好处，好处大于坏处的。不然要砖家干什么。
对个人嘛，或许老了不孤单吧，其他的，那啥吃菜吃菜，别光干喝酒啊。",2021-05-31 19:23:01,0,0
圣育强学生会会长,sheng-yu-qiang-xue-sheng-hui-hui-chang,有钱的用不上，没钱人也用不上,2021-05-31 19:22:21,0,0
匿名用户,,"韭菜紧着一批割呗，下一批不长就转头割之前的那批
说实话不如一夫多妻制(狗头保命)，有钱人才生的起养的起，财产分一分还能促进社会公平缩小收入差距实现共同富裕
另外，三套婚房加上自己住的那套，六个钱包够不够不知道，房地产新一波春天估计在路上了(狗头",2021-05-31 19:20:29,0,0
被迫改名,ling-bing-20-84,"不要光动嘴皮子。
让体制内的先行动起来，当初计划生育也是体制内的只能要一个的。
现在国家鼓励生三胎，等体制内三胎率超过80%了，再来提倡大众。",2021-05-31 19:17:35,0,0
今一,jin-yi-54-54-39,古有花木兰替父去从军，今有躺平军为嘛不干啥,2021-05-31 19:25:19,0,0
稚桐,zhi-tong-92-78,开发点新用户行不行？老盯着8090干嘛咯！00后正值当打之年，求引导他们去。,2021-05-31 19:13:19,0,1
匿名用户,,"一家二人共三幼子，养得四老五世六孙，年入仅七八九万，十人同屋。
十室九空价八万整，房贷七成六息五厘，共要还四三二年，一世难偿。",2021-05-31 19:07:48,0,0
临江踏月,han-yi-78-93,"总结一下目前网友的两个发言热点：
1.有何“配套措施”？
2.反正我坚决不生！
基于一部分人民群众对配套措施的期盼，以及另一部分人民群众对政策的不支持、不理解。如何出台“配套措施”让群众满意，是一大难题。
为此，可以参照住房公积金制度探索设立“子女抚育公积金”，由劳动者和用人单位共同按照一定比例缴纳，统筹账户予以一定补贴。劳动者每生育一个孩子（领养一个孩子），可以解锁账户金额的1/3。
对于坚决不响应政策的人，他们过世时剩余的抚育公积金不得继承，而是纳入统筹账户，让积极响应国家政策的劳动者更有底气为国家做贡献。
手动狗头。",2021-05-31 19:07:26,0,0
柒零扒伍,qi-ling-ba-wu-53,"文不对题了，分享几张图片，不过也能从侧面反映一点情况。
63岁 的我",2021-05-31 19:05:24,0,0
寒星龙渊,han-xing-long-yuan-27,"听到这我腾地一下就爬起来了，别的不说，国家先把对象还有一二胎给我安排一下?
等等，三胎前置条件是二胎，哦。
葛优躺.gif->葛优瘫.jpg",2021-05-31 19:03:03,0,0
阿晶,a-jing-25-12,开放三胎跟一线城市的房价一样，你生的起的生，一线城市房子你买得起的买，合理啊，国家又没有强制每个家庭都必须生三胎,2021-05-31 18:58:50,0,0
阿福,qiu-zi-hang-93,"微博和朋友圈已经炸了。
先粗略算一笔账，生育一个孩子需要投入多少经费？至少22年的生活费、教育费，以及一套房子的一半首付，这么算不过分吧。这单单是金钱上的投入，还没算作为父母养育孩子需投入的精力。加上房贷、车贷和工作的压力，当代85后小家庭能腾出财力、精力养育一个孩子已经很难了，往往需要父母帮着带孩子，几乎存不下钱。需要父母以外的人带孩子，养育质量下降是必然的，而没有存款意味着家庭没有抵抗风险的能力，现在85后的孩子应该还在上小初，再过10年差不多需要出一套房子的一半首付，压力不小吧？
这是单论一胎，二胎和三胎成本会更高，能承担起的85后家庭只会更少。三线以上城市生育孩子和一半首付的钱加起来不会低于100万（一线二线只会更高），平均到每年约5万元支出，而2020年全国城镇居民人均可支配收入43834元。考虑到基尼系数，对于多数家庭来说也就只能养得起二胎。
所以三胎放开和多数家庭以及网上炒得飞起的这些人，并没有太大关系，毕竟养不起三胎的家庭根本不会考虑要不要。那为什么要放开三胎？是制定者不懂民情？不如网民聪明？我觉得应该不是，我认为三胎是针对的那些能承担起成本且有三胎需要的那一小部分家庭。他们拥有足够的资源来培养三胎，甚至可能他们掌握了太多的资源，俩孩子不够分了，还急需要三胎来继承资源。
当然，对于那些看不清形势且享受了时代红利的家庭，三胎也可以发挥类似“推恩令”的效果。",2021-05-31 18:58:22,0,2
长空利剑,chang-kong-li-jian-78,"拿眼睛看！对社会没什么影响！
2021年儿童节大礼包，给小朋友们一个弟弟或妹妹！೭ ౨╰ ╮",2021-05-31 18:56:50,0,0
匿名用户,,不婚不育芳龄永继 不生不养仙寿恒昌,2021-05-31 18:55:19,0,0
匿名用户,,快进到引进菲律宾保姆黑人劳工,2021-05-31 18:51:00,0,0
匿名用户,,"虽然我明白这是国家对老龄化问题提出的相应措施，也是为了国家发展着想，但是有些时候就是觉得很让我不舒服，可能是我个人的原因。
98年我妈生了我，在我前面还有个比我大12岁的姐姐，我妈因为经历过一些事情还有一点老封建的思想非想要一个男孩，看到我的出生，我妈也很稀罕我，可是没办法她太想要一个男孩了，于是花了钱买了个男孩回来，也就是我现在的弟弟。
当时因为计划生育，两个只能带一个回去，不然的话村里知道了是不让进家门的，于是我被我妈送了人，抱着我弟弟回了家，他相当于顶了我的户口，而我一直被人藏着……
后来八九年过去了，因为听说我在外面过得不好，家里人也开始找我，带我回家，回家就要有户口，于是那段时间我爸妈一直忙着给我办理户口的事情，托关系，请人家吃饭，办证明，前前后后花了3万，本来就没存下多少钱的家借东借西还欠了一些。
直到现在我长大了，那天吃午饭的时候我爸突然说起这件事，又告诉了我一些细节，因为给我落户口这件事，警察要把我爸抓走，因为犯了法，后来找关系，再花钱。我爸突然哭了起来，或许是因为当时的自己憋屈，也或许是对我的亏欠，那是我第一次见他哭。
其实，以前放开二胎的时候我就在想，我爸妈面对这种政策的时候他们在想什么，如果是我，多多少少会有些难受，抛弃了亲生的，抱着买来的回家，亏欠了两个孩子……后来的生活也过得很拮据，现在也是。
这里面的故事太多了，或许有机会再写吧。
最后我也就想说，各个时代有各自的需求，我也只是觉得心里难受罢了，既然事情已经过去了，那就好好珍惜现在，碰到需要做选择的事情多想一想。三胎政策已经和我没关系了，我不想也没能力。",2021-05-31 18:48:22,0,0
瞿阳,qu-yang-94-21,"一切伟大的世界历史事变和人物，可以说都出现两次，第一次是作为悲剧出现，第二次是作为笑剧出现。
第二次出现的笑剧比第一次的悲剧更可悲。
刚刷了下起点排行，发现斗罗大陆居然出到第五部了，然后我刷了下评论。",2021-05-31 18:47:48,0,0
123,123-66-22-85,"固化顶层，压缩中产，对人口未必有积极作用
富人阶层是最有意愿多生的，这个毫无疑问。然后问题就来了，只说就业，好的岗位就那么多，有编制的就那么多编制，富裕阶层多生不只是把3个亿分家分成1个亿，而还会去获取更多的资源，每个子女去把1个亿变成两个亿。企业主自不必谈，中高层管理都容易由有资源，有背景，有人脉的二代及亲属担任，挤压一些普通人通过高级打工人致富的机会。
再说教育，当上层膨胀后，把中层的致富空间压缩，中产就越来越少，慢慢的趋向上下两个阶层，作为现在很多在二胎上犹豫的中产来说不得不考虑是不是再生一个去面对未来更激烈的竞争，毕竟996拼出来的中产也不希望自己的孩子当个996苦逼打工人，中产的生育意愿可能会进一步下降。品质上去了就不愿意下来。
清贫的城市人口也开几胎都一样，反正养不起。至于总理说的月入不过1000的6亿农村人口啥情况咱也不知道，互联网上怕是也不怎么看得着，这个政策能不能短期拉动人口大概也就看这批人了，想想也挺可悲的。",2021-05-31 18:45:01,0,0
简浅,jian-qian-24,"怎么看？在知乎上看。
反正最多一个，还有可能不要。
谁想生谁生。",2021-05-31 18:41:42,0,0
还是叫依依吧,jiu-jiao-jun-yao-tong-xie-ba,"等待 国家政策及产业支持 的具体内容
如果能解决住房、教育问题，我还是愿意的。
不过估计是解决不了。",2021-05-31 18:38:03,0,0
北极冰,bei-ji-bing-85,怎么看？肯定是躺着看啊，怎么舒服怎么看,2021-05-31 18:36:31,0,0
kai sun,kai-sun-71,不生三孩的不爱国，建议开除国籍,2021-05-31 18:35:47,0,1
progressive,xu-da-xia-40,"有的时候我也有点矛盾，为什么呢?难道我们现在指望的是年轻人都生孩子，然后大部分都生三胎，然后生下来就给孩子准备房子?
不会吧!",2021-05-31 18:35:11,0,0
秘密花园,mi-mi-hua-yuan-25-7,想问一下，生了四胎的，怎么罚？,2021-05-31 18:34:57,0,0
成都律师,chengdulawyer,"有能力要上，没能力要创造能力上。
如何看待我国将进一步优化生育政策，一对夫妻可以生育三个子女？
不妨考虑考虑？",2021-05-31 18:31:51,0,0
匿名用户,,利好吃公家饭的追三胎，祝实现愿望（绝大多数是想生儿子）。除此之外影响就不大了，有钱的人政策对他们影响不大，大龄青年连一胎都是奢望，从贫困跨入白领的小两口在大城市养两个孩子都艰难，日子紧巴巴。话题回到公务员事业单位人员身上，他们是生养三胎性价比最高的群体，幼儿园小学不用愁，日子是紧一些，但福利都还能跟得上。今后有三个孩子，他们养出来的孩子在社会上平均白领阶层，算是为家族壮大贡献力量了。,2021-05-31 18:31:23,0,0
匿名用户,,"不婚不育，芳龄永继；
莫生莫养，仙寿恒昌。",2021-05-31 18:23:03,0,0
暴走,bao-zou-8-14,"怎么看？
躺着看，该吃吃，该喝喝，喊我办事别喊我，有福利再说",2021-05-31 18:20:19,0,0
海成,hai-cheng-98,直接完全放开吧，也好早点明白生育率下降早就不是因为计划生育了。,2021-05-31 18:19:51,0,0
风子,wenifs,天天天天天做饭,2021-05-31 18:16:36,0,0
匿名用户,,"一胎都没时间没人带。
三胎？揣包里，放办公桌上？
哈哈哈哈突然想到一个搞笑的画面：
谁上课讲话，谁就去办公室给老师哄孩子。",2021-05-31 18:15:32,0,0
青青子衿,qing-qing-zi-jin-83-72-20,大二，父母一代已经让我看到他们好累，我要没出生对他们不好吗？,2021-05-31 18:15:01,0,0
知乎用户o7yT44,england-27,国家也是为了我们好，生三胎我支持，但是有一个小小的要求，国家可不可以给一个北京户口，这样以后养老和孩子上学有个保障。,2021-05-31 18:14:39,0,0
Sven,shen_ben,"开放三胎，越富的人越生
富人生的小孩也富，以后还生
穷人则生一胎都怕
未来，社会大部分财富可能就在现在那一批富人手中",2021-05-31 18:13:03,0,2
Sven,shen_ben,"开放三胎，越富的人越生
富人生的小孩也富，以后还生
穷人则生一胎都怕
未来，社会大部分财富可能就在现在那一批富人手中",2021-05-31 18:13:03,0,2
ffffs,fzg-42-49,立个小目标，争取放开到百胎时，找到对象,2021-05-31 18:12:08,0,0
米多奇,xiao-mi-67-1-82,"有钱的家庭：使劲生，十个八个的不是问题，有的是钱！
重男轻女的家庭：一胎女儿催二胎，二胎女儿催三胎，被公婆疯狂催生，生之前你不用操心，我们给你带！架不住软磨硬泡生出来得了，带是情分不带是本分，带大了孩子还想让我们带孙子？你想累死我们？谁生的谁带！再摊上一个没用的老公，钱没挣多少，还要看他脸色，丧偶式带娃！女人等把孩子拉扯大，一辈子过了三分之二了，以后要么继续给孩子带孩子，要么自己享受生活被孩子骂。让儿媳妇和闺女走自己的老路……
醒悟的普通家庭：无论生几个都摆脱不了贫穷的现实，都摆脱不了被割韭菜的命运！没有钱给孩子提供好的生活条件好的教育方式，生一个用心拉扯大！完活！
至于老了以后谁养，死了以后谁上坟，这些都不是现在考虑的事！教育好了孩子自然不会对你差！死了以后过个几十年，谁还记得你，没准后代出个丁克的，可不就“断子绝孙”了吗？


劳苦大众们！少生！优生！幸福一生！！",2021-05-31 18:12:11,0,0
约打越胖的球友,mou-hou-94,房本数量大于子女数量*2的家庭，超额部分子女无继承权有可能解决问题？,2021-05-31 18:09:58,0,0
Gypsophila33,qin-rui-a-yi,"只是有一个允许大家生三胎的政策啊，为什么负面反响这么激烈？？？
首先新闻一出很多人就说这个图片上两个女孩的事情... 三胎政策的海报肯定需要三个小海啊，不是两个女孩就是两个男孩，两个女孩指责重男轻女，一定要三胎生女孩，事实是，即使照片上两个男孩，那些没事指责别人重男轻女的也能找到合理的理由开喷。
与其说这是一个新政策，不如说是对现有政策的补充完善。
换位思考如果没有这个政策，有些家庭真的想生三胎就没法合法合理的生。现在放开了不是一件好事吗。
社会竞争压力，生活压力，本身不是一个政策能改变的啊。这个政策面向的是想要生三胎的家庭。
现在的社会真的太苛刻了，想生三胎的人，会希望有这个政策。然后一群不想要三胎的跑出来指责政策。
还有的说即使我不生孩子这政策也和我相关，因为我要为教育事业开始纳税啊啥的，那人家生的孩子还给你交养老金呢。可别说养老金是你自己交的，现在的养老金一个月拿到的可比交的多多了，只要活的够久自己交的肯定不够。",2021-05-31 18:14:13,0,0
星之所在,xing-zhi-suo-zai-24-36,没啥影响，中国目前已经高度城市化(%60)并且还是低福利保障社会（低福利问题现阶段是不可能解决的了的），低生育率是注定的事情，你不能违背社会发展规律，建议政府不要在这方面白费力气了，不过咱们可以换个思路，比如在基因刷选，人工授精，人造子宫技术方面下功夫，将生育变成一件政府行为，而不只是夫妻之间的事，不要觉得这事突破伦理啥的，这是人类社会发展到一定阶段必然要经历的。,2021-05-31 18:08:41,0,0
CLCrow,yimen-da-pao,"盲猜影响之一是大部分城市房价阴跌
典型的如七八线县城的房价，一方面是管控的结果，另一方面，很多县城的商品房数量早就满足四胎政策了
曹北上广的房价应该是稳步上涨，不带跌的
新一线城市的郊区、老破小价格应该也会阴跌，但是核心区稳步上升",2021-05-31 18:08:23,0,0
littlebay,littlebay-31,我觉得还是少生点比较好 这样我们的后代不会担心自己35岁就被年龄歧视 企业也不会区区往死了用人 至于产业升级之类的 我觉得人在高压环境下难有创造力 还是劳逸结合 可持续发展更有未来,2021-05-31 18:08:19,0,0
乖蜀黍,eyesangel,"一孩都没有，谈三孩？
一孩养不起的，开10孩也没人生
三孩有条件的，计划生育也会猛生
实在搞不明白",2021-05-31 18:07:26,0,0
忘却的此岸,fang-jia-heng-54,说明一胎政策的负面影响很大，导致专家都拿不出好办法，只能让生二胎的想办法再生一个。二胎对我国出生率的贡献已经很小了，三胎的作用又能大到哪去呢？,2021-05-31 18:07:22,0,0
知乎用户6Cx22t,a-li-ba-ba-jun-25,难道我们现在指望的是生育率很高，老龄化压力一点都没有？一催年轻人他们就结婚，还生两个？不会吧？！对，正因为有一定的难度，所以你够他的时候，痛苦与此有关，幸福也与此有关！,2021-05-31 18:07:15,0,0
孔子东游,qi-gang-yang-yu,不愿生的开放几胎都不生，愿意生的顶着罚款都会生。,2021-05-31 18:06:22,0,1
山豆几,shan-dou-ji-47-63,"三孩只对已有二孩并且想生第三个的家庭有效。
假设一半这样的家庭想生，一半这样的家庭不想升，那么，具体效果应该是二孩政策的一半。
换句话说，没啥用。",2021-05-31 18:11:30,0,0
枯法者,yang-tuo-78-87,"95后刚准备结婚生一胎，肉眼可见三胎婴儿潮。。。
为了不建档难睡过道，就只能加钱去私立了。
双赢",2021-05-31 18:04:25,0,0
Sand Gold,sand-gold,"还能有什么影响.....想生三胎的，要生三胎的人，就算不出台新政策，也还是会生。
开放三胎政策，说是鼓励，实际上也并没有什么实际意义啊？？？是帮忙养孩子了还是分担教育基金了？？？
开放三胎政策，说白了只是给那些原本想生却不能生的人一个机会了而已，那些不想生的照样还是不会生。
现在缺的是三胎吗？？？缺的是一胎！！！缺的是二胎！！！现在很多90后，都是勉强生了一胎，算是完成任务一样，让他们再来第二个，根本不想！
时间、精力、教育、资金，这些对于90后当代年轻人来说，压力太大了！生那么多孩子，没人带！自己带又没人赚钱！孩子多了，还要准备房子，房价那么高！请问，怎么养？？？？",2021-05-31 18:04:08,0,0
布丁,gong-yu-87-41,把躺平打在公屏上，该觉醒了兄弟姐妹们,2021-05-31 18:04:00,0,0
耐割的老韭菜,zhang-hua-18-16,这是计划的一部分。,2021-05-31 18:03:51,0,0
NightRaven,hao-chen-80-54,"富人不稀罕（该生的，早就不知道生了几个）
穷人无所谓（只生不养）
中产就惨了，被逼结婚，一胎，二胎，三胎。",2021-05-31 18:06:21,0,0
无名指回车,wu-ming-zhi-hui-che,没办法，90后不生接盘侠了啊，那就麻烦80后在努力一把哈。,2021-05-31 18:02:55,0,0
joey66,joey66-17,没啥看法，想生的生几个都不够，不想生的一个都嫌多。响应政策的放开四胎也会生，不想生的取消二胎，回归计划生育也不会生，关心这么多干什。 有想这些的时间，不如多读书，多赚钱。非专业人士以及未来不会从事相关工作的人过度关注社会、军事、金融问题，只会浪费时间，让自己越来越脱离正轨。,2021-05-31 18:23:30,0,0
平头哥,rogrez,躺平的老哥:我先睡一会。,2021-05-31 18:01:11,0,0
林下之风,su-jia-huai,苍天啊，等毕业我还能找得着工作吗,2021-05-31 18:00:23,0,0
青城孤影,li-zhu-zhu-58-28,"一家二人共三幼子，得养四老五世六孙，年收入七八九万，十人同屋。
十室九空价八万整，房贷七成六息五厘，共要还四三二年，一世难偿。",2021-05-31 17:58:37,0,0
河清海晏,he-qing-hai-yan-40-56,"说是不对三孩进行罚款，“可以”生育三个孩子，又没有说逼着生三孩。大家就算不是成年人，也都上过小学吧？不限制跟强制的差别难道都不知道吗？看着网上一边倒的反对声，对于这些人，我觉得一定有以下特点：
①没啥钱，养不起孩子，所以允许其他人多生自己心里不平衡；
②嫉妒心重，觉得有钱的人不应该子孙满堂，不应该幸福；
③自以为是，自以为自己不想生所有人就都不想生，还以为有钱人都走了后门，有钱人没有遵守政策的。其实想要三孩，经济条件足够，时间充裕，却因为政策不允许的大有人在；
④觉得自己不行别人就不能来跟自己竞争，对自己孩子亦然。
实在难以理解，人家生孩子管你啥事儿？",2021-05-31 17:58:09,0,3
新月无幽,xin-yue-wu-you-77,没任何影响，或者影响微乎其微。反正不会有什么真金白银彻底解决问题的优惠，也不会让现在的父母更有动力。也就是那少数几个老板们放心公司后继有人了。,2021-05-31 17:57:46,0,0
了不得,liao-bu-de-48,干脆让资本家生百个生千个,2021-05-31 17:57:42,0,0
LEGNE,ye-yu-21-42,,2021-05-31 17:57:11,0,0
星星今晚伴我醉,xing-xing-jin-wan-ban-wo-zui,,2021-05-31 17:57:01,0,0
xiansin,91love,"打了很多，想了想还是删除了
总结就是一句话：mmp",2021-05-31 17:55:39,0,0
微笑的迪妮莎,tianshi14,直接上我朋友群里的话：我和老婆两个都是独生子女，上养四个老人，下养三个小孩？我活尼玛！！！,2021-05-31 17:54:27,0,0
魔法少女小爱,mo-fa-shao-nu-xiao-ai,多看几集观察者网吧,2021-05-31 17:54:26,0,0
匿名用户,,,2021-05-31 17:54:03,0,1
someone nobody,teng-ren-cong,反正这政策的受众也轮不到我，我怎么看也不重要233333,2021-05-31 17:53:30,0,0
陈总,lvhao-39,"私以为，是给脱贫的1亿人口说的，他们是潜在的生育大军。
假设这1亿人口有1000万对可生育夫妻，至少每年能增加600w+人口啊。
不论从感情还是希望来说，他们的生育欲望和发展欲望也是最强力的。
剩下的大中小城市生育潜力确实缺乏。",2021-05-31 17:51:23,0,0
烧仙不要加草,mao-mao-bu-yu-30,这个问题应该在90后身上，正是生育队伍的主力军。但我们这一辈也正是计划生育下出生的一辈，基本都是独生子女。再往后想想，我到了三十多四十岁的时候，两个人要照顾四个老人，3个孩子，还要995甚至996。用群里一个朋友的话来说，生产队的驴都不带这么用的。,2021-05-31 17:50:23,0,0
骚粉色双肩包,li-ya-nan-3-47,"看了配套政策，感觉聊胜于无吧。
如果真的要鼓励生育，表面政策可以来一些：
1.70岁退休，每生一胎，提前5年。
2.120天产假，每生一台，多加30天产假，丈夫同休。
3.所有适龄儿童就近入托入学，取消入学限制。
4.郭嘉兜底教育，医疗，养老。
PS：以上建议纯属娱乐，请勿认真。
最后总结一下：我们不是不想生，是不敢生。夫妻两人，每天加班，不让躺平。家务活都要堆到周末做。不让躺平，谁来带孩子，做家务。不让奋斗，谁来挣钱素质教育，快乐童年。三胎如何平衡家庭资源，巨大的劳动支出，资金支出，精力支出，根本吃不消。而且，现在的年轻人，中年人。归根结底只是个“人”，TA不是神。
我们真的没法：事业家庭双丰收…",2021-05-31 17:51:02,0,0
清水无痕,qing-shui-wu-hen-72-45,降房价，提工资，加补贴，不然就是废纸，或者成为富人扩展的合法文件而已。,2021-05-31 17:50:54,0,0
昨晚的风,zuo-wan-de-feng-24,"2020年的人口普查显示，65岁以上的老龄人口从2010年的8.87%涨到2020年的13.5%，而与此同时14岁以下青少年人数只增长了1.35%。
也就是说从2015年开始放开的二孩政策并没有有效遏制人口老龄化的趋势。
计划生育政策早已不是导致中国人口老龄化的根本原因。住房、医疗、教育压力，才是当代年轻人恐婚、畏孕的源头。
高昂的房价已经让80.90一代步履维艰，一套房子往往已经掏空一个中国普通家庭两代人的积蓄，而一个孩子往往就意味着一套房子的需求，中国人还能往哪掏？
在拼命内卷的形势下，一个孩子的养育成本直线飙升，中国的孩子被逼着成为“鸡娃”“牛娃”，中国的夫母被逼着成为“虎爸”“狼妈”，孩子甚至从幼儿园开始就不得不报各科补习班、各类兴趣班，不报就会被别人落下。而这背后的经济、时间成本谁来承担？
女性职场歧视也一直是一顽疾。开放生育政策后，女性的生育几率大幅提高，由此导致的职场女性歧视问题是否会加剧？
且不说就业问题、医疗问题、养老问题……
这些问题得不到解决，谁敢生？",2021-05-31 17:49:41,0,0
非樊,fei-fan-7-83,https://www.zhihu.com/video/1382755261900251136,2021-05-31 17:49:27,0,0
鸟狙的滑稽,rong-yao-hun-zi,"保持我国人力资源禀赋优势
不像多yue 怕小黑屋",2021-05-31 17:48:59,0,0
只评论不回复,liu-lan-lan-38,记得前些年提倡优生优育，超生的要交公粮，本来就是农民，靠粮食解决温饱，卖粮食换钱支撑生活。被计划生育关注的对象被逼的东躲西藏。回不了家，不过我理解gj，优生优育对gj，对社会发展好。现在老龄化严重，为了积极应对老龄化，鼓励多生，支持多生，但是生下来不得自己养么？我也理解gj已经尽力给老百姓福利支持了，但是所谓的优配措施，对养育一个孩子来说杯水车薪。我也理解gj在尽力。但是不足以支撑养育孩子的成本支出。大部分人都是一般家庭，一个孩子，结婚生娃，买房买车已经让两性矛盾日渐激化了，如果家里2个，3个娃，那的把老两口累死也满足不了娃的需要。房价高，消费水平高，没办法。不是不愿意，而是真的负担不起，二胎三胎。你说我穷，我不反驳，我只是一般家庭。家庭条件好的，多生，有钱养，也不用交超生费，家庭条件一般的就算了吧。网上有很多言论说，穷就不应该生那么多孩子，我是很认可的。如果无论贫富都生3胎，贫富差距只会越来越大。穷人家的孩子补课费都交不起，也有可能学都上不起。每个人还是要考虑自己的实际情况再决定。,2021-05-31 17:48:34,0,0
你喜欢的样子,xiao-dou-dou-63-56,"好消息。想生孩子的可以正规的生三个孩子了。
（朋友圈一片哀嚎，我也不知道为什么，不知道还以为是强制三胎政策来了呢）",2021-05-31 17:47:31,0,2
狗子奔向春暖花开,gao-zhuo-di,"达者不再兼济天下，却怪穷者独善其身。
怎么看？躺着看",2021-05-31 17:46:37,0,0
匿名用户,,90后从小接受晚婚晚育少生优生的教育，长大因为各种原因恐婚恐育然后面临催婚催育,2021-05-31 17:44:51,0,0
